PatentNumber,class,reactants>reagents>production
US08318720B2,,CC(=O)O[C:2]([CH3:1])=[O:3].CCN(CC)CC.ClCCl.[NH:4]1[CH2:5][CH2:6][NH:7][c:8]2[n:9][cH:10][c:11](/[CH:12]=[CH:13]/[C:14](=[O:15])[N:16]([CH3:17])[CH2:18][c:19]3[o:20][c:21]4[cH:22][cH:23][cH:24][cH:25][c:26]4[c:27]3[CH3:28])[cH:29][c:30]2[CH2:31]1>>[CH3:1][C:2](=[O:3])[N:4]1[CH2:5][CH2:6][NH:7][c:8]2[n:9][cH:10][c:11](/[CH:12]=[CH:13]/[C:14](=[O:15])[N:16]([CH3:17])[CH2:18][c:19]3[o:20][c:21]4[cH:22][cH:23][cH:24][cH:25][c:26]4[c:27]3[CH3:28])[cH:29][c:30]2[CH2:31]1
US08445501B2,,Cl.Cl[C:4]([CH2:3][O:2][CH3:1])=[O:5].[NH:6]1[CH2:7][CH2:8][C@@H:9]([NH:10][C:11](=[O:12])[c:13]2[cH:14][nH:15][c:16]3[c:17](-[c:18]4[c:19]([O:20][CH2:21][CH:22]5[CH2:23][CH2:24]5)[cH:25][cH:26][c:27]5[c:28]4[O:29][CH2:30][O:31]5)[n:32][cH:33][n:34][c:35]23)[CH2:36]1>>[CH3:1][O:2][CH2:3][C:4](=[O:5])[N:6]1[CH2:7][CH2:8][C@@H:9]([NH:10][C:11](=[O:12])[c:13]2[cH:14][nH:15][c:16]3[c:17](-[c:18]4[c:19]([O:20][CH2:21][CH:22]5[CH2:23][CH2:24]5)[cH:25][cH:26][c:27]5[c:28]4[O:29][CH2:30][O:31]5)[n:32][cH:33][n:34][c:35]23)[CH2:36]1
US04299829,,CCOC(C)=O.CN(C)C=O.C[Si](C)(C)CC(N)=O.O.O=P(Cl)(Cl)Cl.O[C:10]([C:9](=[N:8][O:7][CH2:6][CH2:5][CH2:4][CH2:3][CH2:2][CH3:1])[c:26]1[cH:27][s:28][c:29]([NH:30][CH:31]=[O:32])[n:33]1)=[O:11].[NH2:12][CH:13]1[C:14](=[O:15])[N:16]2[C:17]([C:18](=[O:19])[OH:20])=[CH:21][CH:22]([CH3:23])[S:24][C@H:25]12>>[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][O:7][N:8]=[C:9]([C:10](=[O:11])[NH:12][CH:13]1[C:14](=[O:15])[N:16]2[C:17]([C:18](=[O:19])[OH:20])=[CH:21][CH:22]([CH3:23])[S:24][C@H:25]12)[c:26]1[cH:27][s:28][c:29]([NH:30][CH:31]=[O:32])[n:33]1
US08324385B2,,CC(C)(C)OC(=O)N1CCN([c:12]2[cH:11][cH:10][c:9]([C:7]([NH:6][c:5]3[cH:4][cH:3][c:2]([CH3:1])[c:29]([I:30])[cH:28]3)=[O:8])[cH:27][n:26]2)CC1.Cc1ccc(NC(=O)c2ccc(Cl)nc2)cc1I.[NH:13]1[CH2:14][CH2:15][C@@H:16]([NH:17][C:18](=[O:19])[O:20][C:21]([CH3:22])([CH3:23])[CH3:24])[CH2:25]1>>[CH3:1][c:2]1[cH:3][cH:4][c:5]([NH:6][C:7](=[O:8])[c:9]2[cH:10][cH:11][c:12]([N:13]3[CH2:14][CH2:15][C@@H:16]([NH:17][C:18](=[O:19])[O:20][C:21]([CH3:22])([CH3:23])[CH3:24])[CH2:25]3)[n:26][cH:27]2)[cH:28][c:29]1[I:30]
US07192982B2,,C1CCOC1.CCOC(=O)/N=N/C(=O)OCC.O[c:14]1[cH:15][cH:16][c:17](-[c:18]2[cH:19][cH:20][cH:21][cH:22][cH:23]2)[cH:24][cH:25]1.[CH3:1][C:2]([CH3:3])([CH3:4])[Si:5]([CH3:6])([CH3:7])[O:8][C@@H:9]1[CH2:10][CH2:11][C@@H:12]([OH:13])[CH2:26]1.c1ccc(P(c2ccccc2)c2ccccc2)cc1>>[CH3:1][C:2]([CH3:3])([CH3:4])[Si:5]([CH3:6])([CH3:7])[O:8][C@@H:9]1[CH2:10][CH2:11][C@H:12]([O:13][c:14]2[cH:15][cH:16][c:17](-[c:18]3[cH:19][cH:20][cH:21][cH:22][cH:23]3)[cH:24][cH:25]2)[CH2:26]1
US09382222B2,,CCN(C(C)C)C(C)C.ClCCl.Cl[S:26]([CH3:27])(=[O:28])=[O:29].O=C([O-])O.[CH3:1][CH:2]([CH3:3])[CH2:4][N:5]([CH2:6][c:7]1[cH:8][cH:9][c:10]([Cl:11])[cH:12][cH:13]1)[S:14](=[O:15])(=[O:16])[c:17]1[cH:18][cH:19][c:20]([O:21][C@@H:22]2[CH2:23][CH2:24][NH:25][CH2:30][C@H:31]2[O:32][Si:33]([CH:34]([CH3:35])[CH3:36])([CH:37]([CH3:38])[CH3:39])[CH:40]([CH3:41])[CH3:42])[cH:43][cH:44]1.[Na+]>>[CH3:1][CH:2]([CH3:3])[CH2:4][N:5]([CH2:6][c:7]1[cH:8][cH:9][c:10]([Cl:11])[cH:12][cH:13]1)[S:14](=[O:15])(=[O:16])[c:17]1[cH:18][cH:19][c:20]([O:21][C@@H:22]2[CH2:23][CH2:24][N:25]([S:26]([CH3:27])(=[O:28])=[O:29])[CH2:30][C@H:31]2[O:32][Si:33]([CH:34]([CH3:35])[CH3:36])([CH:37]([CH3:38])[CH3:39])[CH:40]([CH3:41])[CH3:42])[cH:43][cH:44]1
US04808581,,CCO.O.O=[CH:4][c:3]1[c:2]([CH3:1])[n:20]([C:21]([c:22]2[cH:23][cH:24][cH:25][cH:26][cH:27]2)([c:28]2[cH:29][cH:30][cH:31][cH:32][cH:33]2)[c:34]2[cH:35][cH:36][cH:37][cH:38][cH:39]2)[cH:19][n:18]1.[CH3:5][C:6](=[O:7])[c:8]1[cH:9][n:10]([CH3:11])[c:12]2[cH:13][cH:14][cH:15][cH:16][c:17]12.[K+].[OH-]>>[CH3:1][c:2]1[c:3](/[CH:4]=[CH:5]/[C:6](=[O:7])[c:8]2[cH:9][n:10]([CH3:11])[c:12]3[cH:13][cH:14][cH:15][cH:16][c:17]23)[n:18][cH:19][n:20]1[C:21]([c:22]1[cH:23][cH:24][cH:25][cH:26][cH:27]1)([c:28]1[cH:29][cH:30][cH:31][cH:32][cH:33]1)[c:34]1[cH:35][cH:36][cH:37][cH:38][cH:39]1
US06498165B1,,C[Sn](C)(C)[N:19]=[N+:17]=[N-:18].Cc1ccccc1C.[CH3:1][C@H:2]([NH:3][c:4]1[n:5][cH:6][cH:7][c:8](-[n:9]2[cH:10][n:11][c:12]3[cH:13][c:14]([C:15]#[N:16])[cH:20][cH:21][c:22]23)[n:23]1)[c:24]1[cH:25][cH:26][cH:27][cH:28][cH:29]1>>[CH3:1][C@H:2]([NH:3][c:4]1[n:5][cH:6][cH:7][c:8](-[n:9]2[cH:10][n:11][c:12]3[cH:13][c:14](-[c:15]4[n:16][n:17][n:18][nH:19]4)[cH:20][cH:21][c:22]23)[n:23]1)[c:24]1[cH:25][cH:26][cH:27][cH:28][cH:29]1
US08962629B2,,C1COCCO1.CCOC(C)=O.Cc1ccc(S(=O)(=O)[n:20]2[c:19]3[n:18][cH:17][c:16]([NH:15][NH:14][C:13](=O)[C@@H:12]4[CH2:11][CH2:10][C@H:9]([NH:8][C:6]([O:5][C:2]([CH3:1])([CH3:3])[CH3:4])=[O:7])[CH2:25]4)[n:24][c:23]3[cH:22][cH:21]2)cc1.O.O=C([O-])[O-].O=S(Cl)Cl.[Na+].[Na+]>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[NH:8][C@H:9]1[CH2:10][CH2:11][C@@H:12]([c:13]2[n:14][n:15][c:16]3[cH:17][n:18][c:19]4[nH:20][cH:21][cH:22][c:23]4[n:24]23)[CH2:25]1
US08415378B2,,Br.COC(=O)[N:8]1[CH2:7][CH2:6][C@@H:5]([c:4]2[cH:3][c:2](=[O:1])[nH:19][o:18]2)[CH2:17][C@@H:9]1[c:10]1[cH:11][cH:12][c:13]([Cl:14])[cH:15][cH:16]1>>[O:1]=[c:2]1[cH:3][c:4]([C@@H:5]2[CH2:6][CH2:7][NH:8][C@@H:9]([c:10]3[cH:11][cH:12][c:13]([Cl:14])[cH:15][cH:16]3)[CH2:17]2)[o:18][nH:19]1
US09278922B2,,O[C:36](=[O:37])[C@@H:38]([c:39]1[cH:40][cH:41][cH:42][cH:43][cH:44]1)[N:45]1[CH2:46][CH2:47][CH2:48][CH2:49]1.[CH3:1][O:2][C:3](=[O:4])[NH:5][C@H:6]([C:7](=[O:8])[N:9]1[CH2:10][CH2:11][CH2:12][C@H:13]1[C:14](=[O:15])[NH:16][c:17]1[cH:18][cH:19][c:20]([CH2:21][N:22]([CH2:23][c:24]2[cH:25][cH:26][c:27]([NH:28][C:29](=[O:30])[C@@H:31]3[CH2:32][CH2:33][CH2:34][NH:35]3)[cH:50][cH:51]2)[c:52]2[cH:53][cH:54][cH:55][cH:56][cH:57]2)[cH:58][cH:59]1)[C:60]([CH3:61])([CH3:62])[CH3:63]>>[CH3:1][O:2][C:3](=[O:4])[NH:5][C@H:6]([C:7](=[O:8])[N:9]1[CH2:10][CH2:11][CH2:12][C@H:13]1[C:14](=[O:15])[NH:16][c:17]1[cH:18][cH:19][c:20]([CH2:21][N:22]([CH2:23][c:24]2[cH:25][cH:26][c:27]([NH:28][C:29](=[O:30])[C@@H:31]3[CH2:32][CH2:33][CH2:34][N:35]3[C:36](=[O:37])[C@@H:38]([c:39]3[cH:40][cH:41][cH:42][cH:43][cH:44]3)[N:45]3[CH2:46][CH2:47][CH2:48][CH2:49]3)[cH:50][cH:51]2)[c:52]2[cH:53][cH:54][cH:55][cH:56][cH:57]2)[cH:58][cH:59]1)[C:60]([CH3:61])([CH3:62])[CH3:63]
US06869949B2,,CC(=O)[N:20]1[c:19]2[c:9]([cH:10][cH:11][n:12]3[c:13]([Br:14])[c:15]([CH3:16])[n:17][c:18]32)[C@@H:7]([O:8]C(=O)C(C)(C)C)[C@H:6]([O:5][CH2:4][CH2:3][O:2][CH3:1])[C@H:21]1[c:22]1[cH:23][cH:24][cH:25][cH:26][cH:27]1.CO.NN.O.[K+].[OH-]>>[CH3:1][O:2][CH2:3][CH2:4][O:5][C@H:6]1[C@H:7]([OH:8])[c:9]2[cH:10][cH:11][n:12]3[c:13]([Br:14])[c:15]([CH3:16])[n:17][c:18]3[c:19]2[NH:20][C@@H:21]1[c:22]1[cH:23][cH:24][cH:25][cH:26][cH:27]1
US05965718,,CCN(CC)CC.CN(C)c1ccncc1.CO[C@]12C=C[C@](C)(O1)[C@@H](O[C:5](/[CH:4]=C/c1cn(C)cn1)=[O:6])C[C@H]1C(C)=CC[C@H](C(C)C)[C@H]1C=C2CO[C@@H]1OC[C@@H](O)[C@@H](O)[C@@H]1OC(C)=O.ClCCl.[CH3:1][C:2](=[O:3])[O:10][C:8]([CH3:7])=[O:9]>>[CH3:1][C:2](=[O:3])[CH2:4][C:5](=[O:6])[CH2:7][C:8](=[O:9])[OH:10]
US04473692,,CC(=O)O.O=[Pt].[CH3:1][CH2:2][C@@:3]1([OH:4])[C:5](=[O:6])[O:7][CH2:8][c:9]2[c:10]1[cH:11][c:12]1[n:13]([c:14]2=[O:15])[CH2:16][c:17]2[cH:18][c:19]3[cH:20][cH:21][cH:22][cH:23][c:24]3[n:25][c:26]2-1>>[CH3:1][CH2:2][C@@:3]1([OH:4])[C:5](=[O:6])[O:7][CH2:8][c:9]2[c:10]1[cH:11][c:12]1[n:13]([c:14]2=[O:15])[CH2:16][CH:17]2[CH2:18][c:19]3[cH:20][cH:21][cH:22][cH:23][c:24]3[NH:25][CH:26]12
US07709500B2,,CN(C)C=O.O=[N+]([O-])c1cccc(S(=O)(=O)O[CH2:3][C@:2]2([CH3:1])[CH2:15][O:16]2)c1.[K].[NH:4]1[C:5](=[O:6])[c:7]2[cH:8][cH:9][cH:10][cH:11][c:12]2[C:13]1=[O:14]>>[CH3:1][C@@:2]1([CH2:3][N:4]2[C:5](=[O:6])[c:7]3[cH:8][cH:9][cH:10][cH:11][c:12]3[C:13]2=[O:14])[CH2:15][O:16]1
US07091346B1,,C1CCOC1.O=[C:23]([C@H:22]1[N:18]([c:17]2[n:16][c:7]([NH:8][c:9]3[cH:10][cH:11][cH:12][c:13]([Cl:14])[cH:15]3)[c:6]3[n:5][cH:4][n:3]([CH2:2][CH3:1])[c:26]3[n:25]2)[CH2:19][CH2:20][CH2:21]1)[NH2:24].[Al+3].[H-].[H-].[H-].[H-].[Li+]>>[CH3:1][CH2:2][n:3]1[cH:4][n:5][c:6]2[c:7]([NH:8][c:9]3[cH:10][cH:11][cH:12][c:13]([Cl:14])[cH:15]3)[n:16][c:17]([N:18]3[CH2:19][CH2:20][CH2:21][C@H:22]3[CH2:23][NH2:24])[n:25][c:26]12
US06495699B2,,CC(C)(O)[C@H](N)CO.CN(C)C(On1nnc2ccccc21)=[N+](C)C.Cl.F[B-](F)(F)F.[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[NH:8][C@H:9]([CH2:10][C:11](=[O:12])[NH:23][C@@H:24]([CH2:25][OH:26])[C:27]([CH3:28])([CH3:29])[OH:30])[C:21]([O:13][CH2:14][c:15]1[cH:16][cH:17][cH:18][cH:19][cH:20]1)=[O:22]>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[NH:8][C@H:9]([CH2:10][C:11](=[O:12])[O:13][CH2:14][c:15]1[cH:16][cH:17][cH:18][cH:19][cH:20]1)[C:21](=[O:22])[NH:23][C@@H:24]([CH2:25][OH:26])[C:27]([CH3:28])([CH3:29])[OH:30]
US09393306B2,,I/[CH:2]=[CH:1]/[O:12][c:13]1[cH:14][cH:15][c:16](-[c:17]2[cH:18][cH:19][cH:20][cH:21][cH:22]2)[cH:23][cH:24]1.O=C([O-])[O-].[Cs+].[Cs+].[Cu]I.[nH:3]1[cH:4][cH:5][c:6]2[cH:7][cH:8][cH:9][cH:10][c:11]12>>[CH:1](=[CH:2]/[n:3]1[cH:4][cH:5][c:6]2[cH:7][cH:8][cH:9][cH:10][c:11]12)\[O:12][c:13]1[cH:14][cH:15][c:16](-[c:17]2[cH:18][cH:19][cH:20][cH:21][cH:22]2)[cH:23][cH:24]1
US04061656,,C1CCOC1.Cc1ccccc1.O=[CH:14][C:12](=[CH:11][CH:10]=[CH:9][C:7](=[CH:6][C:4]([O:3][CH2:2][CH3:1])=[O:5])[CH3:8])[CH3:13].[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)[CH2:15][c:16]2[s:17][c:18]([O:19][CH3:20])[cH:21][c:22]2[CH3:23])cc1>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH:6]=[C:7]([CH3:8])/[CH:9]=[CH:10]/[CH:11]=[C:12]([CH3:13])[CH:14]=[CH:15][c:16]1[s:17][c:18]([O:19][CH3:20])[cH:21][c:22]1[CH3:23]
US08877922B2,,C1CCOC1.CN(C)C=O.O=[N+]([O-])[c:15]1[cH:16][cH:17][cH:18][c:19]([N+:20](=[O:21])[O-:22])[c:23]1[C:24]#[N:25].[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[N:8]1[CH2:9][CH2:10][CH2:11][C@H:12]([CH2:13][OH:14])[CH2:26]1.[H-].[Na+]>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[N:8]1[CH2:9][CH2:10][CH2:11][C@H:12]([CH2:13][O:14][c:15]2[cH:16][cH:17][cH:18][c:19]([N+:20](=[O:21])[O-:22])[c:23]2[C:24]#[N:25])[CH2:26]1
US07205326B2,,CN(C)C=O.Cl[CH2:9][c:10]1[cH:11][o:12][c:13]([CH:14]=[CH:15][c:16]2[cH:17][cH:18][c:19]([S:20](=[O:21])[C:22]([F:23])([F:24])[F:25])[cH:26][cH:27]2)[n:28]1.[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[NH:8][c:29]1[cH:30][cH:31][c:32]([CH2:33][CH2:34][CH2:35][CH2:36][n:37]2[cH:38][cH:39][n:40][n:41]2)[cH:42][cH:43]1.[Cl-].[H-].[NH4+].[Na+]>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[N:8]([CH2:9][c:10]1[cH:11][o:12][c:13](/[CH:14]=[CH:15]/[c:16]2[cH:17][cH:18][c:19]([S:20](=[O:21])[C:22]([F:23])([F:24])[F:25])[cH:26][cH:27]2)[n:28]1)[c:29]1[cH:30][cH:31][c:32]([CH2:33][CH2:34][CH2:35][CH2:36][n:37]2[cH:38][cH:39][n:40][n:41]2)[cH:42][cH:43]1
US06503903B1,,CCN(CC)CC.CCN=C=NCCCN(C)C.CN(C)C=O.Cl.ClCCl.O.O[C:24](=[O:25])[C@@H:26]([CH2:27][OH:28])[NH:29][C:30](=[O:31])[O:32][CH2:33][c:34]1[cH:35][cH:36][cH:37][cH:38][cH:39]1.On1nnc2ccccc21.[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[c:8]1[cH:9][cH:10][c:11]([F:12])[c:13]([CH2:14][NH:15][CH2:16][CH2:17][c:18]2[cH:19][cH:20][cH:21][cH:22][cH:23]2)[cH:40]1>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[c:8]1[cH:9][cH:10][c:11]([F:12])[c:13]([CH2:14][N:15]([CH2:16][CH2:17][c:18]2[cH:19][cH:20][cH:21][cH:22][cH:23]2)[C:24](=[O:25])[C@@H:26]([CH2:27][OH:28])[NH:29][C:30](=[O:31])[O:32][CH2:33][c:34]2[cH:35][cH:36][cH:37][cH:38][cH:39]2)[cH:40]1
US09266896B2,,Br[c:17]1[c:11]([S:8]([NH:7][c:6]2[c:5]([C:3]([O:2][CH3:1])=[O:4])[c:29]3[c:28]([cH:27][cH:26]2)-[c:36]2[c:32]([o:33][cH:34][cH:35]2)[CH2:31][O:30]3)(=[O:9])=[O:10])[cH:12][cH:13][c:14]([F:15])[cH:16]1.C1COCCO1.CCCC[Sn](CCCC)(CCCC)/[CH:18]=[CH:19]\[CH2:20][N:21]1[CH2:22][CH2:23][CH2:24][CH2:25]1.CS(C)=O>>[CH3:1][O:2][C:3](=[O:4])[c:5]1[c:6]([NH:7][S:8](=[O:9])(=[O:10])[c:11]2[cH:12][cH:13][c:14]([F:15])[cH:16][c:17]2/[CH:18]=[CH:19]\[CH2:20][N:21]2[CH2:22][CH2:23][CH2:24][CH2:25]2)[cH:26][cH:27][c:28]2[c:29]1[O:30][CH2:31][c:32]1[o:33][cH:34][cH:35][c:36]1-2
US07598391B2,,ClC[CH2:18][N:19]1[CH2:20][CH2:21][CH2:22][CH2:23]1.N#[C:17][S:16][c:15]1[cH:14][n:13][c:12]([NH:11][C:9]([N:8]([C@@H:7]2[CH2:6][CH2:5][N:4]([C:2]([CH3:1])=[O:3])[CH2:31]2)[CH:25]2[CH2:26][CH2:27][CH2:28][CH2:29][CH2:30]2)=[O:10])[s:24]1.O[C@H](CS)[C@@H](O)CS>>[CH3:1][C:2](=[O:3])[N:4]1[CH2:5][CH2:6][C@@H:7]([N:8]([C:9](=[O:10])[NH:11][c:12]2[n:13][cH:14][c:15]([S:16][CH2:17][CH2:18][N:19]3[CH2:20][CH2:21][CH2:22][CH2:23]3)[s:24]2)[CH:25]2[CH2:26][CH2:27][CH2:28][CH2:29][CH2:30]2)[CH2:31]1
US08278452B2,,CCN(C(C)C)C(C)C.CN(C)C(On1nnc2cccnc21)=[N+](C)C.CN(C)C=O.F[P-](F)(F)(F)(F)F.O=[C:17](O)[C:18]1([C:19]([F:20])([F:21])[F:22])[CH2:23][CH2:24]1.[CH3:1][c:2]1[cH:3][c:4]2[c:5]([cH:6][n:7]1)[cH:8][c:9](-[c:10]1[cH:11][c:12]([NH:13]/[C:14](=[N:15]/[OH:16])[NH2:25])[cH:26][cH:27][c:28]1[CH3:29])[c:30](=[O:31])[n:32]2[CH3:33]>>[CH3:1][c:2]1[cH:3][c:4]2[c:5]([cH:6][n:7]1)[cH:8][c:9](-[c:10]1[cH:11][c:12]([NH:13][c:14]3[n:15][o:16][c:17]([C:18]4([C:19]([F:20])([F:21])[F:22])[CH2:23][CH2:24]4)[n:25]3)[cH:26][cH:27][c:28]1[CH3:29])[c:30](=[O:31])[n:32]2[CH3:33]
US08952058B2,,CC(=O)[O:29][C@H:28]1[C@H:23]([NH:22][c:21]2[n:20][c:19]3[cH:18][cH:17][c:16]([CH2:15][n:14]4[c:9]5[n:8][cH:7][c:6]([CH2:5][NH2:4])[cH:11][c:10]5[n:12][cH:13]4)[cH:32][c:31]3[s:30]2)[CH2:24][CH2:25][CH2:26][CH2:27]1.ClCCl.Cl[C:2]([CH3:1])=[O:3].c1ccncc1>>[CH3:1][C:2](=[O:3])[NH:4][CH2:5][c:6]1[cH:7][n:8][c:9]2[c:10]([cH:11]1)[n:12][cH:13][n:14]2[CH2:15][c:16]1[cH:17][cH:18][c:19]2[n:20][c:21]([NH:22][C@@H:23]3[CH2:24][CH2:25][CH2:26][CH2:27][C@H:28]3[OH:29])[s:30][c:31]2[cH:32]1
US09006455B2,,CCN(C(C)C)C(C)C.CC[BH-](CC)CC.CN(C)c1ccncc1.Cc1ccccc1.O=C(OC(=O)C(F)(F)F)C(F)(F)F.O=[C:9]1[N:8]([C:6]([O:5][C:2]([CH3:1])([CH3:3])[CH3:4])=[O:7])[C@H:12]([CH2:13][O:14][Si:15]([c:16]2[cH:17][cH:18][cH:19][cH:20][cH:21]2)([c:22]2[cH:23][cH:24][cH:25][cH:26][cH:27]2)[C:28]([CH3:29])([CH3:30])[CH3:31])[CH2:11][CH2:10]1.[Li+]>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[N:8]1[CH:9]=[CH:10][CH2:11][C@H:12]1[CH2:13][O:14][Si:15]([c:16]1[cH:17][cH:18][cH:19][cH:20][cH:21]1)([c:22]1[cH:23][cH:24][cH:25][cH:26][cH:27]1)[C:28]([CH3:29])([CH3:30])[CH3:31]
US07576063B2,,CC(=O)[O:17][CH2:16][C@H:15]1[O:14][C@H:13](Br)[C@H:22]([O:23]C(C)=O)[C@@H:20]([O:21]C(C)=O)[C@@H:18]1[O:19]C(C)=O.ClCCl.[CH3:1][CH:2]([CH3:3])[CH2:4][c:5]1[cH:6][cH:7][c:8]([CH2:9][c:10]2[c:11](=[O:12])[nH:24][nH:25][c:26]2[CH:27]([CH3:28])[CH3:29])[cH:30][cH:31]1.[Na+].[OH-]>>[CH3:1][CH:2]([CH3:3])[CH2:4][c:5]1[cH:6][cH:7][c:8]([CH2:9][c:10]2[c:11]([O:12][C@@H:13]3[O:14][C@H:15]([CH2:16][OH:17])[C@@H:18]([OH:19])[C@H:20]([OH:21])[C@H:22]3[OH:23])[n:24][nH:25][c:26]2[CH:27]([CH3:28])[CH3:29])[cH:30][cH:31]1
US08569292B2,,Br[c:7]1[n:8][c:9]([C:10](=[O:11])[NH:12][C:13]([CH3:14])([CH3:15])[CH3:16])[cH:17][s:18]1.CC1(C)OB([c:6]2[cH:5][cH:4][c:3]([C@H:2]([CH3:1])[N:21]3[CH2:22][CH2:23][C@:24]([CH2:25][C:26]([CH3:27])([CH3:28])[OH:29])([c:30]4[cH:31][cH:32][cH:33][cH:34][cH:35]4)[O:36][C:37]3=[O:38])[cH:20][cH:19]2)OC1(C)C>>[CH3:1][C@@H:2]([c:3]1[cH:4][cH:5][c:6](-[c:7]2[n:8][c:9]([C:10](=[O:11])[NH:12][C:13]([CH3:14])([CH3:15])[CH3:16])[cH:17][s:18]2)[cH:19][cH:20]1)[N:21]1[CH2:22][CH2:23][C@:24]([CH2:25][C:26]([CH3:27])([CH3:28])[OH:29])([c:30]2[cH:31][cH:32][cH:33][cH:34][cH:35]2)[O:36][C:37]1=[O:38]
US04567267,,CCN(CC)CC.ClCCl.[C:9]1(=[O:10])[CH:11]([c:22]2[cH:23][cH:24][cH:25][cH:26][cH:27]2)[S:12][CH:13]2[N:14]1[c:15]1[cH:16][cH:17][cH:18][cH:19][c:20]1[S:21]2.[O:1]=[C:2]([OH:3])[C@@H:4]1[CH2:5][CH2:6][CH2:7][NH:8]1>>[O:1]=[C:2]([OH:3])[C@@H:4]1[CH2:5][CH2:6][CH2:7][N:8]1[C:9](=[O:10])[CH:11]([S:12][c:13]1[n:14][c:15]2[cH:16][cH:17][cH:18][cH:19][c:20]2[s:21]1)[c:22]1[cH:23][cH:24][cH:25][cH:26][cH:27]1
US08598358B2,,Cc1ccc(S(=O)(=O)O)cc1.O=[C:2]([CH3:1])[CH3:3].[OH:4][CH2:5][C@:6]([CH3:7])([CH2:8][O:9][c:10]1[cH:11][cH:12][c:13]([Br:14])[cH:15][cH:16]1)[OH:17]>>[CH3:1][C:2]1([CH3:3])[O:4][CH2:5][C@:6]([CH3:7])([CH2:8][O:9][c:10]2[cH:11][cH:12][c:13]([Br:14])[cH:15][cH:16]2)[O:17]1
US08575156B2,,C1CCOC1.ClCCl.[CH3:1][C@@H:2]([c:3]1[cH:4][cH:5][c:6]([O:7][CH:8]([F:9])[F:10])[cH:11][cH:12]1)[N:13]1[CH2:14][CH2:15][C@:16]([CH2:17][CH:18]=[CH2:19])([c:21]2[cH:22][cH:23][c:24]([F:25])[cH:26][cH:27]2)[O:28][C:29]1=[O:30].[OH2:20]>>[CH3:1][C@@H:2]([c:3]1[cH:4][cH:5][c:6]([O:7][CH:8]([F:9])[F:10])[cH:11][cH:12]1)[N:13]1[CH2:14][CH2:15][C@:16]([CH2:17][CH2:18][CH2:19][OH:20])([c:21]2[cH:22][cH:23][c:24]([F:25])[cH:26][cH:27]2)[O:28][C:29]1=[O:30]
US07964602B2,,Cc1cccc(C)n1.ClCCl.O=C(O[C:22](=[O:23])[C:24]([F:25])([F:26])[F:27])C(F)(F)F.[CH3:1][C@H:2]1[CH2:3][N:4]([CH2:5][c:6]2[cH:7][cH:8][n:9]([C:10](=[O:11])[O:12][C:13]([CH3:14])([CH3:15])[CH3:16])[n:17]2)[CH2:18][C@@H:19]([CH3:20])[NH:21]1>>[CH3:1][C@H:2]1[CH2:3][N:4]([CH2:5][c:6]2[cH:7][cH:8][n:9]([C:10](=[O:11])[O:12][C:13]([CH3:14])([CH3:15])[CH3:16])[n:17]2)[CH2:18][C@@H:19]([CH3:20])[N:21]1[C:22](=[O:23])[C:24]([F:25])([F:26])[F:27]
US07622583B2,,CC#N.CCN(C(C)C)C(C)C.CN(C)C(On1nnc2cccnc21)=[N+](C)C.CN(C)C=O.F[P-](F)(F)(F)(F)F.O.O[C:8](=[O:9])[c:10]1[n:11][cH:12][c:13]([Cl:14])[cH:15][c:16]1[NH:17][S:18](=[O:19])(=[O:20])[c:21]1[cH:22][cH:23][c:24]([Cl:25])[c:26]([C:27]([F:28])([F:29])[F:30])[cH:31]1.[CH3:1][C@@H:2]1[CH2:3][O:4][CH2:5][CH2:6][NH:7]1>>[CH3:1][C@@H:2]1[CH2:3][O:4][CH2:5][CH2:6][N:7]1[C:8](=[O:9])[c:10]1[n:11][cH:12][c:13]([Cl:14])[cH:15][c:16]1[NH:17][S:18](=[O:19])(=[O:20])[c:21]1[cH:22][cH:23][c:24]([Cl:25])[c:26]([C:27]([F:28])([F:29])[F:30])[cH:31]1
